id,name,min_players,max_players,avg_rating,ranking,weight,categories,mechanics,thumbnail
356080,The Elder Scrolls: Betrayal of the Second Era,1,4,9.20423,1031,3.9538,"Adventure, Dice, Exploration, Fantasy, Video Game Theme","Cooperative Game, Dice Rolling, Die Icon Resolution, Hexagon Grid, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Tech Trees / Tech Tracks, Variable Set-up",https://cf.geekdo-images.com/1boSR6Gvi_melhbRhxdAUw__thumb/img/bNjTBErgY4yxjVDfxIt-YfGd37M=/fit-in/200x150/filters:strip_icc()/pic8332880.jpg
391137,Galactic Cruise,1,4,8.44453,2294,3.9189,"Aviation / Flight, Economic, Industry / Manufacturing, Science Fiction, Space Exploration","Action Points, Connections, End Game Bonuses, Hand Management, Income, Market, Modular Board, Multi-Use Cards, Open Drafting, Set Collection, Solo / Solitaire Game, Track Movement, Variable Set-up, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",https://cf.geekdo-images.com/l-LMcklO683dyVlnRZS3mg__thumb/img/8usx0HfsTXTpE2kklVRMtJGAwFY=/fit-in/200x150/filters:strip_icc()/pic7556818.jpg
409496,The Quacks of Quedlinburg: The Duel,2,2,7.52207,3809,2.2105,N/A,"Deck, Bag, and Pool Building",https://cf.geekdo-images.com/VK9RA7nCBT04bYLFz2dSmA__thumb/img/npxH1KEV5xNbVMOrscbhzB8TNL0=/fit-in/200x150/filters:strip_icc()/pic8292763.png
342942,Ark Nova,1,4,8.53447,3,3.7795,"Animals, Economic, Environmental","Action Queue, End Game Bonuses, Grid Coverage, Hand Management, Hexagon Grid, Income, Increase Value of Unchosen Resources, Open Drafting, Set Collection, Solo / Solitaire Game, Tags, Tile Placement, Variable Player Powers, Variable Set-up",https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg
359871,Arcs,2,4,8.13141,132,3.3921,"Science Fiction, Space Exploration, Wargame","Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Take That, Trick-taking, Turn Order: Claim Action, Variable Player Powers",https://cf.geekdo-images.com/XWImAu_3RK61wbzcKboVdA__thumb/img/Ry-6KHwNgERWadyxs1X1_P3dMvY=/fit-in/200x150/filters:strip_icc()/pic8145530.png
414317,Harmonies,1,4,8.01666,94,2.0072,"Animals, Environmental","Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement",https://cf.geekdo-images.com/A_XP2_VN3ugyqPhezowB_w__thumb/img/ln5eKAzhse2PIHvWn7bu-jiW_uk=/fit-in/200x150/filters:strip_icc()/pic8026369.png
219650,Arydia: The Paths We Dare Tread,1,4,9.25791,756,3.2346,"Adventure, Dice, Exploration, Fantasy","Cooperative Game, Critical Hits and Failures, Dice Rolling, Grid Movement, Line of Sight, Modular Board, Narrative Choice / Paragraph, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Tech Trees / Tech Tracks",https://cf.geekdo-images.com/GGXq2lRAJCtS1yPPPmdVKw__thumb/img/-ERrbcuFZtzZSLfl8grcDi_pCgY=/fit-in/200x150/filters:strip_icc()/pic6205610.png
312484,Lost Ruins of Arnak,1,4,8.06813,29,2.925,"Adventure, Exploration, Fantasy","Contracts, Deck, Bag, and Pool Building, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Resource to Move, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement",https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__thumb/img/J8SVmGOJXZGxNjkT3xYNQU7Haxg=/fit-in/200x150/filters:strip_icc()/pic5674958.jpg
224517,Brass: Birmingham,2,4,8.57941,1,3.8699,"Age of Reason, Economic, Industry / Manufacturing, Post-Napoleonic, Trains, Transportation","Hand Management, Income, Loans, Market, Network and Route Building, Tags, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg
366013,Heat: Pedal to the Metal,1,6,8.02783,41,2.1878,"Racing, Sports","Catch the Leader, Deck, Bag, and Pool Building, Hand Management, Programmed Movement, Push Your Luck, Race, Simulation, Simultaneous Action Selection, Solo / Solitaire Game, Track Movement, Variable Set-up",https://cf.geekdo-images.com/-vOrd4bOspibyohYExLqWg__thumb/img/2GbaKvYOzWIxfgbYTk2R9puiyzo=/fit-in/200x150/filters:strip_icc()/pic6940449.png
436126,Finspan,1,5,7.78654,1604,2.3333,"Animals, Card Game","End Game Bonuses, Hand Management, Once-Per-Game Abilities, Solo / Solitaire Game",https://cf.geekdo-images.com/BBefMnVYBDS3EbJ9fPaC8A__thumb/img/Wo2snzBQJMaVXkFdYl-zXL8PrbA=/fit-in/200x150/filters:strip_icc()/pic8634453.jpg
395315,Sudds & Malone,2,4,8.66667,Not Ranked,0,"Dice, Murder / Mystery","Action Drafting, End Game Bonuses, Hand Management, Tech Trees / Tech Tracks",https://cf.geekdo-images.com/qRIkt8C-63pzdiVVQknRMQ__thumb/img/1lvfqB6VqY5l3kS52hn76BATFOI=/fit-in/200x150/filters:strip_icc()/pic7688626.png
371942,The White Castle,1,4,7.99229,90,3.0184,"Dice, Economic","Action Drafting, Dice Rolling, Multi-Use Cards, Open Drafting, Solo / Solitaire Game, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",https://cf.geekdo-images.com/qXT1U-nFh9PE8ujfdmI7dA__thumb/img/ru1l95gdKNXSsByDglE9Xxgu0kE=/fit-in/200x150/filters:strip_icc()/pic7754663.jpg
162886,Spirit Island,1,4,8.33963,10,4.0729,"Environmental, Fantasy, Fighting, Mythology, Territory Building","Action Retrieval, Area Majority / Influence, Automatic Resource Growth, Campaign / Battle Card Driven, Cooperative Game, Hand Management, Modular Board, Simultaneous Action Selection, Solo / Solitaire Game, Tags, Variable Player Powers, Variable Set-up",https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__thumb/img/aUlIih2_R7P8IYKeyNl2heLQbu8=/fit-in/200x150/filters:strip_icc()/pic7013651.jpg
266192,Wingspan,1,5,8.02513,33,2.4702,"Animals, Card Game, Educational","Action Queue, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Open Drafting, Set Collection, Solo / Solitaire Game, Turn Order: Progressive",https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__thumb/img/VNToqgS2-pOGU6MuvIkMPKn_y-s=/fit-in/200x150/filters:strip_icc()/pic4458123.jpg
167791,Terraforming Mars,1,5,8.35083,7,3.2659,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Space Exploration, Territory Building","Closed Drafting, Contracts, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Tags, Take That, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Progressive, Variable Player Powers, Variable Set-up, Victory Points as a Resource",https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg
400602,Civolution,1,4,8.21458,597,4.1811,"Civilization, Dice, Economic, Exploration, Science Fiction","Area Movement, Dice Rolling, Events, Hand Management, Income, Modular Board, Open Drafting, Pattern Building, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",https://cf.geekdo-images.com/DahMIPzUpexvhUPAG3dGbA__thumb/img/uzogBNlLw3GBuGa1T6_8oQbADnY=/fit-in/200x150/filters:strip_icc()/pic8303209.jpg
338960,Slay the Spire: The Board Game,1,4,8.73283,69,2.9375,"Adventure, Card Game, Fantasy, Video Game Theme","Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Hand Management, Solo / Solitaire Game",https://cf.geekdo-images.com/PQzVclEoOQ_wr4e1V86kxA__thumb/img/cpmsSDagE5RvQ1ERXl-fMJIaUUg=/fit-in/200x150/filters:strip_icc()/pic8157856.png
316554,Dune: Imperium,1,4,8.42325,6,3.0601,"Movies / TV / Radio theme, Novel-based, Political, Science Fiction","Card Play Conflict Resolution, Deck, Bag, and Pool Building, Delayed Purchase, Force Commitment, Increase Value of Unchosen Resources, Multi-Use Cards, Open Drafting, Race, Solo / Solitaire Game, Tags, Take That, Turn Order: Progressive, Variable Player Powers, Worker Placement",https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg
391163,Forest Shuffle,2,5,7.6988,216,2.1982,"Animals, Card Game, Educational, Environmental","End Game Bonuses, Hand Management, Layering, Multi-Use Cards, Open Drafting, Set Collection, Tags",https://cf.geekdo-images.com/08bC8NviSTNc4Zvur4pueA__thumb/img/Xq8TNBmMl3Z7DoynvbUXchFAztc=/fit-in/200x150/filters:strip_icc()/pic7578350.jpg
429293,The Fellowship of the Ring: Trick-Taking Game,1,4,8.00282,828,2.025,"Adventure, Card Game, Fantasy, Novel-based","Communication Limits, Cooperative Game, Scenario / Mission / Campaign Game, Trick-taking",https://cf.geekdo-images.com/uC4N_3kQdoHefNPesAHCzQ__thumb/img/hLjGKsIwJP43656LEnehjFVRzDE=/fit-in/200x150/filters:strip_icc()/pic8437787.png
373106,Sky Team,2,2,8.1738,37,2.053,Aviation / Flight,"Communication Limits, Cooperative Game, Dice Rolling, Scenario / Mission / Campaign Game, Simulation, Worker Placement with Dice Workers",https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__thumb/img/WyPClajMWU9lV5BdCXiZnqdZgmU=/fit-in/200x150/filters:strip_icc()/pic7398904.jpg
237182,Root,2,4,8.07151,30,3.8217,"Animals, Fantasy, Negotiation, Territory Building, Wargame","Action Points, Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Multi-Use Cards, Negotiation, Point to Point Movement, Race, Sudden Death Ending, Take That, Variable Player Powers, Variable Set-up",https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__thumb/img/ACovMZzGGIsBRyEQXFnsT8282NM=/fit-in/200x150/filters:strip_icc()/pic4254509.jpg
329500,Unconscious Mind,1,4,7.9595,489,3.9545,Medical,"Contracts, End Game Bonuses, Melding and Splaying, Open Drafting, Programmed Movement, Rondel, Set Collection, Solo / Solitaire Game, Tags, Worker Placement",https://cf.geekdo-images.com/ufkAbhulnKJ7uDpi09TXOQ__thumb/img/XBP7p0D1bkzDXkoOuXSiavW26Ig=/fit-in/200x150/filters:strip_icc()/pic7127448.jpg
397598,Dune: Imperium – Uprising,1,6,8.72037,13,3.4958,"Movies / TV / Radio theme, Novel-based, Political, Science Fiction","Automatic Resource Growth, Card Play Conflict Resolution, Deck, Bag, and Pool Building, Delayed Purchase, Force Commitment, Increase Value of Unchosen Resources, Multi-Use Cards, Open Drafting, Solo / Solitaire Game, Team-Based Game, Turn Order: Progressive, Variable Player Powers, Worker Placement",https://cf.geekdo-images.com/UVUkjMV_Q2paVUIUP30Vvw__thumb/img/H6qmxJrRFjtOAPZOfDoZ480-46I=/fit-in/200x150/filters:strip_icc()/pic7664424.jpg
295947,Cascadia,1,4,7.92098,51,1.857,"Animals, Environmental, Puzzle","End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Variable Set-up, Victory Points as a Resource",https://cf.geekdo-images.com/MjeJZfulbsM1DSV3DrGJYA__thumb/img/tVSFjSxYEcw7sKj3unIIQV8kxoc=/fit-in/200x150/filters:strip_icc()/pic5100691.jpg
421006,The Lord of the Rings: Duel for Middle-earth,2,2,8.42024,50,2.062,"Card Game, Fantasy, Novel-based","Area Majority / Influence, Hand Management, Income, Layering, Market, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Point to Point Movement, Race, Relative Movement, Set Collection, Sudden Death Ending, Tags, Take That, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up",https://cf.geekdo-images.com/EybxJlUc9rz7F7HVFLqsdw__thumb/img/rojFW0-h-bteedVG4aJXG1x7V0o=/fit-in/200x150/filters:strip_icc()/pic8378939.jpg
358661,Andromeda's Edge,2,4,8.3916,341,3.7077,"Fighting, Science Fiction","Area Majority / Influence, Dice Rolling, End Game Bonuses, Events, Hand Management, Hexagon Grid, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types",https://cf.geekdo-images.com/n3gYugbvd_LHVynDhfoVbw__thumb/img/ze7YA6aXpf6xgmDUhD0gv_HoW30=/fit-in/200x150/filters:strip_icc()/pic7334483.jpg
400366,Wondrous Creatures,1,4,8.10136,1192,3.0339,Fantasy,"End Game Bonuses, Hexagon Grid, Open Drafting, Set Collection, Tags, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",https://cf.geekdo-images.com/3ue_3La0WYopTSDER3shUA__thumb/img/4SreytxNoZL435EkTriKB08W5W0=/fit-in/200x150/filters:strip_icc()/pic8389014.jpg
205637,Arkham Horror: The Card Game,1,2,8.12865,28,3.5564,"Adventure, Card Game, Collectible Components, Exploration, Horror, Novel-based","Action Points, Area Movement, Communication Limits, Cooperative Game, Deck Construction, Events, Hand Management, Map Deformation, Modular Board, Player Elimination, Push Your Luck, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers",https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__thumb/img/L8ouPl5jv2Ye9MC4R_Os2zSGigE=/fit-in/200x150/filters:strip_icc()/pic3122349.jpg
199792,Everdell,1,4,8.00618,39,2.8241,"Animals, Card Game, City Building, Fantasy","Contracts, End Game Bonuses, Hand Management, Income, Open Drafting, Ownership, Set Collection, Solo / Solitaire Game, Tags, Variable Set-up, Worker Placement",https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__thumb/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png
367966,Endeavor: Deep Sea,1,4,8.24028,342,2.8717,"Environmental, Exploration, Nautical","Action Points, Action Retrieval, Chaining, Cooperative Game, End Game Bonuses, Grid Movement, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Set-up",https://cf.geekdo-images.com/wIbevITv9W79ELP8rEZoKA__thumb/img/7_DqsUgdrpbeLfkA2ko8bXhgpGw=/fit-in/200x150/filters:strip_icc()/pic6996584.jpg
441548,Trickerion: Anniversary Edition,1,4,10,Not Ranked,0,Post-Napoleonic,"Action Points, Action Queue, Deck, Bag, and Pool Building, Simultaneous Action Selection, Worker Placement, Worker Placement, Different Worker Types",https://cf.geekdo-images.com/JNtocfxu4JQY5qn_eUs9rQ__thumb/img/8LfRE2URpdvlliJPMcuMB5dXAhg=/fit-in/200x150/filters:strip_icc()/pic8780064.png
285774,Marvel Champions: The Card Game,1,4,8.11558,42,2.9449,"Card Game, Collectible Components, Comic Book / Strip, Fighting","Card Play Conflict Resolution, Cooperative Game, Deck Construction, Hand Management, Interrupts, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Turn Order: Progressive, Variable Player Powers, Variable Set-up",https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__thumb/img/SDNWntiB06KhAINl06CDPkoipDc=/fit-in/200x150/filters:strip_icc()/pic4900321.jpg
373107,Elden Ring: Realm of the Grafted King,1,4,5.01371,27595,2.25,"Adventure, Fantasy, Fighting, Miniatures, Video Game Theme","Cooperative Game, Deck Construction, Scenario / Mission / Campaign Game, Tile Placement",https://cf.geekdo-images.com/77Rxh59ADg1tBHQuMXqLEA__thumb/img/XYsoTmlzqFRkMoUSmNIKcW_s6Rs=/fit-in/200x150/filters:strip_icc()/pic8658615.png
169786,Scythe,1,5,8.12331,18,3.4517,"Economic, Fighting, Science Fiction, Territory Building","Area Majority / Influence, Card Play Conflict Resolution, Contracts, End Game Bonuses, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Narrative Choice / Paragraph, Solo / Solitaire Game, Take That, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up, Victory Points as a Resource, Zone of Control",https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__thumb/img/eQ69OEDdjYjfKg6q5Navee87skU=/fit-in/200x150/filters:strip_icc()/pic3163924.jpg
393429,Critter Kitchen,1,5,8.01758,3548,2.5238,Animals,"Contracts, Programmed Movement, Variable Player Powers",https://cf.geekdo-images.com/w72-A0u4uH2j_YqGwu4E0w__thumb/img/qFG2IdCRk89cQpOXZIQTyM-mcWQ=/fit-in/200x150/filters:strip_icc()/pic7594267.jpg
354886,Quacks & Co.: Quedlinburg Dash,2,4,7.32721,2591,1.1724,"Animals, Children's Game, Medieval, Racing","Catch the Leader, Deck, Bag, and Pool Building, Dice Rolling, Race, Track Movement, Variable Set-up",https://cf.geekdo-images.com/EixCi-ILdeEnSdEOFYpQZA__thumb/img/QjzfX1Ov463XYgzB6xAIk-B0Fy8=/fit-in/200x150/filters:strip_icc()/pic6640480.jpg
432709,Severton,1,5,0,Not Ranked,0,Adventure,Cooperative Game,https://cf.geekdo-images.com/NdO3cO2h8NKL-_kxY90ZPQ__thumb/img/PDGThiGXgTrkA-1nykVnPUfFxYA=/fit-in/200x150/filters:strip_icc()/pic8622471.jpg
431305,Great Western Trail: El Paso,1,4,6.92819,5990,2.7143,"Animals, Economic","Deck, Bag, and Pool Building, Hand Management, Ownership, Set Collection, Solo / Solitaire Game, Track Movement, Variable Set-up",https://cf.geekdo-images.com/R1kmXnKY2XNTibnw0mfUYQ__thumb/img/bRPBjc1ca-Br8ld3wFiGEkVNzO4=/fit-in/200x150/filters:strip_icc()/pic8522248.jpg
